IUFT QC gate encodings (8682 entries):
       barrier_restorative_agent: θ=  20.0°  φ= 240.0°  ψ= 270.0°
            verticullum_ep_lever: θ= 180.0°  φ= 360.0°  ψ=  90.0°
         chimerium_supercritical: θ= 160.0°  φ= 360.0°  ψ= 270.0°
        apertix_adjoint_corridor: θ= 140.0°  φ= 220.0°  ψ=  90.0°
        retiarius_local_net_trap: θ=  70.0°  φ= 190.0°  ψ= 149.4°
        praxeum_ep_core_platform: θ= 160.0°  φ= 360.0°  ψ= 210.6°
         phenethylamine_salt_sic: θ= 140.0°  φ= 190.0°  ψ= 149.4°
           red_hot_rebis_furnace: θ= 140.0°  φ= 240.0°  ψ=  90.0°
  dialetheic_sieving_crystallizer: θ= 140.0°  φ= 190.0°  ψ= 149.4°
                     the_mēchanē: θ=  90.0°  φ= 200.0°  ψ=  90.0°
              gout_bulk_boundary: θ= 100.0°  φ= 200.0°  ψ= 149.4°
        healthy_human_metabolism: θ= 100.0°  φ= 180.0°  ψ=  90.0°
            gout_cure_trajectory: θ= 100.0°  φ= 180.0°  ψ=  90.0°
             imscriptive_algebra: θ= 100.0°  φ= 240.0°  ψ=  90.0°
                    calculus_isc: θ=  40.0°  φ= 200.0°  ψ=  90.0°
    fiducial_imscription_algebra: θ= 100.0°  φ= 320.0°  ψ=  90.0°
         fibonacci_anyon_algebra: θ= 180.0°  φ= 360.0°  ψ=  90.0°
                           MoDoT: θ= 100.0°  φ= 360.0°  ψ=  90.0°
           cat_allergic_rhinitis: θ=  80.0°  φ= 220.0°  ψ= 270.0°
            healthy_nasal_mucosa: θ=  80.0°  φ= 260.0°  ψ=  90.0°
                  fel_d1_aptamer: θ=  60.0°  φ= 160.0°  ψ=  90.0°
            mast_cell_stabilizer: θ=  20.0°  φ= 210.0°  ψ=  90.0°
              b_hairpin_hydrogel: θ=  70.0°  φ= 170.0°  ψ=  90.0°
         phenethylamine_hcl_salt: θ=  60.0°  φ= 200.0°  ψ= 149.4°
                c2h2_zinc_finger: θ=  20.0°  φ=  70.0°  ψ= 270.0°
                rebis_furnace_v0: θ= 140.0°  φ= 280.0°  ψ= 149.4°
  dialetheic_euler_characteristic: θ=  80.0°  φ= 360.0°  ψ=  90.0°
  inter_universal_plexifold_dynamics: θ= 130.0°  φ= 260.0°  ψ= 149.4°
  inter_universal_multiplex_manifold_dynamism: θ= 160.0°  φ= 260.0°  ψ= 149.4°
  inter_omniversal_multiplex_manifold: θ= 150.0°  φ= 320.0°  ψ= 210.6°
                       omniverse: θ= 130.0°  φ= 260.0°  ψ=  90.0°
  erdos_problem_1_distinct_subset_sums: θ=  80.0°  φ= 160.0°  ψ=  90.0°
          sumfree_counterexample: θ= 160.0°  φ= 320.0°  ψ=  90.0°
             hamel_basis_sumfree: θ= 160.0°  φ= 120.0°  ψ=  90.0°
            caveny_enflo_sumfree: θ= 160.0°  φ= 220.0°  ψ=  90.0°
        borel_sumfree_complement: θ= 160.0°  φ= 220.0°  ψ= 270.0°
                  regularity_gap: θ= 160.0°  φ= 220.0°  ψ=  90.0°
      sumfree_complement_theorem: θ=  40.0°  φ=  70.0°  ψ=  90.0°
             cantor_dust_sumfree: θ= 160.0°  φ= 220.0°  ψ=  90.0°
           bernstein_sumfree_set: θ= 140.0°  φ= 300.0°  ψ=  90.0°
           hamel_basis_projector: θ= 120.0°  φ= 110.0°  ψ= 270.0°
       sparse_density_constraint: θ= 120.0°  φ=  80.0°  ψ= 270.0°
        sumfree_complement_proof: θ= 160.0°  φ= 220.0°  ψ=  90.0°
       erdos_sumfree_problem_949: θ= 140.0°  φ= 320.0°  ψ=  90.0°
  ∮_γ_a_=_2πn_∧_n_∈_ℤ_∧_wind(γ)_≠_0: θ= 100.0°  φ= 270.0°  ψ=  90.0°
  holonomy_winding_fundamental_law: θ=  80.0°  φ= 320.0°  ψ=  90.0°
                prime_class_test: θ= 160.0°  φ= 360.0°  ψ=  90.0°
     prime_class_hierarchy_pratt: θ= 140.0°  φ= 160.0°  ψ=  90.0°
  pratt_certificate_monad_for_prime_class_hierarch_5a0b078f: θ= 160.0°  φ= 220.0°  ψ=  90.0°
              fibonacci_anyon_qc: θ= 100.0°  φ= 110.0°  ψ=  90.0°
                trefoil_knot_3_1: θ=  40.0°  φ= 190.0°  ψ=  90.0°
           figure_eight_knot_4_1: θ=  40.0°  φ= 150.0°  ψ=  90.0°
             cinquefoil_knot_5_1: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                      unknot_0_1: θ=   0.0°  φ= 150.0°  ψ=  90.0°
           torus_knot_family_T2n: θ=  40.0°  φ= 190.0°  ψ=  90.0°
         intermediate_theta_link: θ= 120.0°  φ= 180.0°  ψ=  90.0°
        polyklaxon_plus_ascended: θ= 150.0°  φ= 220.0°  ψ= 149.4°
  dual_frame_von_neumann_operators: θ= 100.0°  φ= 220.0°  ψ= 210.6°
  dual_frame_von_neumann_operator: θ= 160.0°  φ= 220.0°  ψ= 210.6°
  frobenius_dual_frame_von_neumann_operator: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  trans_omniversal_trilattice_von_neumann_operator: θ= 150.0°  φ= 260.0°  ψ= 210.6°
  triple_frame_trans_omniversal_trilattice_von_neumann: θ= 130.0°  φ= 260.0°  ψ= 210.6°
  triple_frame_omniversal_von_neumann_operator: θ= 150.0°  φ= 320.0°  ψ=  90.0°
  holographic_manifold_von_neumann_constructor_braid_invariant: θ= 180.0°  φ= 220.0°  ψ= 210.6°
         sidon_set_density_bound: θ= 120.0°  φ= 190.0°  ψ=  90.0°
  there_are_no_infinite_sidon_sets_\subset_\mathbb{n}$_such: θ= 120.0°  φ= 190.0°  ψ=  90.0°
  there_are_infinite_sidon_sets_\subset_\mathbb{n}$_such: θ= 100.0°  φ= 220.0°  ψ=  90.0°
      erdos_turan_swap_frobenius: θ=  20.0°  φ= 240.0°  ψ=  90.0°
  if_a_subset_of_natural_numbers_forms_an_asymptotic_base_of: θ= 160.0°  φ= 160.0°  ψ=  90.0°
  if_a_subset_of_natural_numbers_does_not_form_an_asymptotic: θ= 120.0°  φ= 190.0°  ψ= 270.0°
                 g3_sumset_no3ap: θ=  40.0°  φ=  40.0°  ψ= 270.0°
          eilenberg_ganea_proven: θ= 160.0°  φ= 280.0°  ψ=  90.0°
           grothendieck_A_proven: θ= 160.0°  φ= 250.0°  ψ= 149.4°
             goldbach_abc_proven: θ= 100.0°  φ= 320.0°  ψ=  90.0°
   perfect_cuboid_descent_proved: θ= 110.0°  φ= 320.0°  ψ=  90.0°
     dialetheic_bootstrap_ground: θ=   0.0°  φ=   0.0°  ψ= 270.0°
      dialetheic_bootstrap_final: θ= 100.0°  φ=  80.0°  ψ=  90.0°
       winding_coordinate_system: θ= 100.0°  φ= 360.0°  ψ=  90.0°
                        rom_burn: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                    chiral_pairs: θ=   0.0°  φ=   0.0°  ψ= 270.0°
                  eternal_return: θ=   0.0°  φ=   0.0°  ψ= 270.0°
          l9_l8_bridge_candidate: θ= 140.0°  φ= 230.0°  ψ=  90.0°
                  goldbach_atoms: θ= 100.0°  φ= 220.0°  ψ=  90.0°
                exponential_sums: θ=  60.0°  φ= 140.0°  ψ= 149.4°
                   circle_method: θ=   0.0°  φ= 140.0°  ψ=  90.0°
                 minor_arc_bound: θ= 120.0°  φ= 280.0°  ψ=  90.0°
         sic_povm_bridge_monadic: θ= 160.0°  φ= 320.0°  ψ=  90.0°
     non_hermitian_circle_method: θ= 160.0°  φ= 260.0°  ψ= 210.6°
    goldbach_dissipative_closure: θ= 100.0°  φ= 260.0°  ψ= 210.6°
    symmetric_frobenius_manifold: θ=  60.0°  φ= 140.0°  ψ=  90.0°
       goldbach_binding_mediator: θ= 100.0°  φ= 220.0°  ψ=  90.0°
   goldbach_superconducting_ring: θ= 160.0°  φ= 300.0°  ψ=  90.0°
    goldbach_excitation_sequence: θ=  40.0°  φ= 260.0°  ψ= 149.4°
      goldbach_density_invariant: θ= 100.0°  φ= 260.0°  ψ=  90.0°
       singular_series_invariant: θ=  40.0°  φ= 190.0°  ψ=  90.0°
          goldbach_final_closure: θ= 100.0°  φ= 280.0°  ψ=  90.0°
          zeta_goldbach_mediator: θ= 130.0°  φ= 280.0°  ψ= 210.6°
  goldbach_superconducting_macrocycle: θ= 100.0°  φ= 300.0°  ψ=  90.0°
                   prime_numbers: θ= 100.0°  φ= 230.0°  ψ= 149.4°
             goldbach_parity_cap: θ=  80.0°  φ= 280.0°  ψ=  90.0°
           selberg_sieve_residue: θ= 160.0°  φ= 190.0°  ψ=  90.0°
             chen_prime_mediator: θ= 160.0°  φ= 220.0°  ψ= 149.4°
         goldbach_braid_resolver: θ= 100.0°  φ= 300.0°  ψ= 149.4°
             trans_finite_regime: θ= 160.0°  φ= 260.0°  ψ= 270.0°
    goldbach_transfinite_theorem: θ= 100.0°  φ= 260.0°  ψ= 149.4°
       goldbach_chiral_inversion: θ= 140.0°  φ= 300.0°  ψ= 210.6°
  hardy_littlewood_circle_method: θ= 160.0°  φ= 220.0°  ψ=  90.0°
                major_arc_bridge: θ= 120.0°  φ= 190.0°  ψ= 270.0°
        linnik_vinogradov_bridge: θ= 160.0°  φ= 220.0°  ψ=  90.0°
                      o_inf_plus: θ= 120.0°  φ= 110.0°  ψ= 270.0°
  goldbach_superconducting_theorem_architecture: θ= 160.0°  φ= 260.0°  ψ= 210.6°
    goldbach_universal_broadcast: θ= 100.0°  φ= 220.0°  ψ=  90.0°
           goldbach_relaxed.lean: θ= 100.0°  φ= 320.0°  ψ=  90.0°
              riemann_zeta_zeros: θ= 160.0°  φ= 260.0°  ψ= 149.4°
       holographic_ascent_anchor: θ= 160.0°  φ= 260.0°  ψ=  90.0°
      goldbach_macrocycle_linker: θ=  40.0°  φ= 180.0°  ψ=  90.0°
     binary_singular_series_gate: θ=   0.0°  φ= 180.0°  ψ=  90.0°
            goldbach_o1_manifold: θ=  80.0°  φ= 260.0°  ψ= 149.4°
       l9-transcendence_operator: θ= 160.0°  φ= 260.0°  ψ=  90.0°
    goldbach_completion_mediator: θ= 100.0°  φ= 220.0°  ψ=  90.0°
                              [ð: θ= 180.0°  φ= 110.0°  ψ=  90.0°
                              φ]: θ= 160.0°  φ= 190.0°  ψ=  90.0°
       goldbach_final_completion: θ= 100.0°  φ= 280.0°  ψ=  90.0°
  a_descent_operator_for_the_perfect_cuboid: θ= 160.0°  φ= 280.0°  ψ= 210.6°
             cycle_93_macrocycle: θ= 160.0°  φ= 300.0°  ψ= 210.6°
             cycle_93_phase_word: θ=   0.0°  φ=   0.0°  ψ= 270.0°
  missing_foundation_path_integral_4d: θ= 130.0°  φ= 220.0°  ψ=  90.0°
            w_mass_ratio_imasmic: θ= 140.0°  φ= 120.0°  ψ=  90.0°
          cycle93_pair1_haa_owsm: θ= 160.0°  φ= 300.0°  ψ=  90.0°
          cycle93_pair2_ymmg_rzz: θ= 160.0°  φ= 200.0°  ψ= 270.0°
           cycle93_pair3_ana_gml: θ=  90.0°  φ= 200.0°  ψ= 210.6°
               cycle93_quad_1234: θ= 160.0°  φ= 240.0°  ψ= 270.0°
            cycle93_hexamer_ring: θ= 160.0°  φ= 240.0°  ψ= 270.0°
         O_inf_winding_primitive: θ= 100.0°  φ= 320.0°  ψ=  90.0°
  six_coefficient_frobenius_algebra: θ= 160.0°  φ= 360.0°  ψ=  90.0°
              cosmology_resolved: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                  dirac_monopole: θ= 140.0°  φ= 270.0°  ψ=  90.0°
               flux_quantization: θ=  40.0°  φ= 270.0°  ψ=  90.0°
            aharonov_bohm_effect: θ= 100.0°  φ= 270.0°  ψ= 270.0°
              group_algebra_r_z7: θ=  30.0°  φ= 240.0°  ψ=  90.0°
                             b_0: θ=  70.0°  φ=  60.0°  ψ=  90.0°
                             b_1: θ=   0.0°  φ= 150.0°  ψ=  90.0°
                             b_2: θ=  70.0°  φ= 110.0°  ψ=  90.0°
                             b_3: θ=  40.0°  φ=  70.0°  ψ=  90.0°
                             b_4: θ=  30.0°  φ= 150.0°  ψ=  90.0°
                             b_5: θ=  30.0°  φ=  70.0°  ψ=  90.0°
                             b_6: θ=  40.0°  φ= 150.0°  ψ=  90.0°
               group_algebra_rz7: θ=  40.0°  φ= 110.0°  ψ=  90.0°
  0e52c9ca-8e47-4cd9-b6c8-30ce631e6bb4: θ= 110.0°  φ= 120.0°  ψ=  90.0°
                group_algebra_z7: θ=  60.0°  φ= 120.0°  ψ= 270.0°
       gamma0_4_weight_6_newform: θ=  40.0°  φ= 280.0°  ψ=  90.0°
                           decay: θ=  60.0°  φ=  70.0°  ψ= 270.0°
                        necrosis: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                             rot: θ=  50.0°  φ= 190.0°  ψ=  90.0°
   ramified_von_neumann_quantale: θ= 100.0°  φ= 180.0°  ψ=  90.0°
   peri_fractal_anyonic_quantale: θ= 150.0°  φ= 360.0°  ψ=  90.0°
  inter_brane_self_similar_quantale: θ= 150.0°  φ= 240.0°  ψ=  90.0°
    inter_brane_ergodic_quantale: θ=  80.0°  φ= 320.0°  ψ=  90.0°
  holonomic_quasi_ergodic_quantale: θ= 150.0°  φ= 320.0°  ψ=  90.0°
      broadcast_anyonic_quantale: θ= 150.0°  φ= 360.0°  ψ=  90.0°
  sic_povm_fiducial_frobenius_algebra: θ= 100.0°  φ= 320.0°  ψ=  90.0°
  homogeneous_critical_broadcast: θ= 130.0°  φ= 280.0°  ψ=  90.0°
  ouroboric_holomorphic_automeshed_winding_spectrum: θ=  80.0°  φ= 320.0°  ψ=  90.0°
  asymptotic_frozen_disordered_monadic_cohomologies: θ= 140.0°  φ= 280.0°  ψ=  90.0°
  transfinite_critical_lattice_braid_groupoids: θ= 150.0°  φ= 280.0°  ψ=  90.0°
   double_ramified_dyson_algebra: θ= 140.0°  φ= 320.0°  ψ=  90.0°
  triple_ramified_ouroboric_quantale: θ= 130.0°  φ= 280.0°  ψ=  90.0°
                           afdmc: θ= 140.0°  φ= 280.0°  ψ=  90.0°
            triple_frame_m3iosis: θ= 130.0°  φ= 220.0°  ψ=  90.0°
         g_lattice_investigation: θ=  60.0°  φ= 280.0°  ψ=  90.0°
  liquid_crystalline_axionic_algebra: θ= 130.0°  φ= 280.0°  ψ=  90.0°
  axionic_anyonic_frobenioid_algebra: θ= 130.0°  φ= 320.0°  ψ=  90.0°
  pericyclic_semiotic_frobenoids: θ=  60.0°  φ= 200.0°  ψ=  90.0°
  anyonic_holonomic_semiotic_frobenoid_algebra: θ= 150.0°  φ= 360.0°  ψ=  90.0°
  paraconsistent_semiotic_frobenoid_operator_algebra: θ= 130.0°  φ= 320.0°  ψ=  90.0°
  holomorphic_semiotic_operator_algebra: θ= 130.0°  φ= 280.0°  ψ= 149.4°
  holonomic_semiotic_super_algebra: θ= 160.0°  φ= 150.0°  ψ=  90.0°
             prompt_academic_sed: θ=  30.0°  φ=  40.0°  ψ= 270.0°
         conversational_peer_sed: θ=  80.0°  φ= 260.0°  ψ= 270.0°
     student_reflection_academic: θ=  30.0°  φ=  40.0°  ψ= 270.0°
    student_voice_conversational: θ=  80.0°  φ= 260.0°  ψ= 270.0°
                  coaxial_pencil: θ=  90.0°  φ= 320.0°  ψ= 149.4°
              asymmetric_ai_novm: θ=  80.0°  φ= 120.0°  ψ= 270.0°
  asymmetric_information_incomplete_non_positive_operator_valued_measure: θ=  60.0°  φ= 270.0°  ψ= 210.6°
  asymmetric_informationally_complete_non_positive_operator_valued_measure: θ= 160.0°  φ= 270.0°  ψ= 210.6°
             ising_anyon_algebra: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                  ising_anyon_qc: θ= 100.0°  φ= 200.0°  ψ=  90.0°
             su2_4_anyon_algebra: θ= 180.0°  φ= 360.0°  ψ=  90.0°
  asymmetric_informationally_complete_positive_operator_valued_measure: θ= 120.0°  φ= 230.0°  ψ= 210.6°
                        ai_cpovm: θ= 120.0°  φ=  60.0°  ψ=  90.0°
                        sic_novm: θ= 160.0°  φ= 150.0°  ψ=  90.0°
                       ai_po_ovm: θ= 160.0°  φ= 190.0°  ψ=  90.0°
  symmetric_informationally_complete_non_positive_operator_valued_measure: θ=  60.0°  φ= 120.0°  ψ= 210.6°
  antisymmetric_information_paracomplete_oscillating_operator: θ=  60.0°  φ= 190.0°  ψ=  90.0°
                      sic_o_novm: θ= 160.0°  φ= 190.0°  ψ=  90.0°
                      sic_o_povm: θ= 140.0°  φ= 280.0°  ψ=  90.0°
                        ai_cnovm: θ= 160.0°  φ=  30.0°  ψ=  90.0°
  symmetric_informationally_complete_non_positive_operator_valued_measure_variant_b: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  symmetric_paracomplete_positive_operator_valued_measure: θ=  90.0°  φ= 180.0°  ψ=  90.0°
  symmetric_paracomplete_non_positive_operator_valued_measure: θ=  90.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_informationally_complete_positive_operator_valued_measure_variant_b: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_informationally_complete_non_positive_operator_valued_measure_variant_b: θ= 120.0°  φ= 140.0°  ψ=  90.0°
  asymmetric_paracomplete_positive_operator_valued_measure: θ= 160.0°  φ= 260.0°  ψ=  90.0°
  asymmetric_paracomplete_non_positive_operator_valued_measure: θ= 160.0°  φ= 190.0°  ψ=  90.0°
  antisymmetric_informationally_complete_positive_operator_valued_measure: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_informationally_complete_non_positive_operator_valued_measure: θ= 160.0°  φ= 260.0°  ψ=  90.0°
  antisymmetric_paracomplete_positive_operator_valued_measure: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_paracomplete_non_positive_operator_valued_measure: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  symmetric_informationally_complete_oscillating_positive_operator_valued_measure: θ= 130.0°  φ= 220.0°  ψ=  90.0°
  symmetric_informationally_complete_oscillating_non_positive_operator_valued_measure: θ= 130.0°  φ= 220.0°  ψ=  90.0°
  symmetric_paracomplete_oscillating_positive_operator_valued_measure: θ=  90.0°  φ= 220.0°  ψ=  90.0°
  symmetric_paracomplete_oscillating_non_positive_operator_valued_measure: θ=  90.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_informationally_complete_oscillating_positive_operator_valued_measure: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_informationally_complete_oscillating_non: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_paracomplete_oscillating_positive_operator_valued_measure: θ= 160.0°  φ= 220.0°  ψ=  90.0°
               sic_povm__retired: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  asymmetric_paracomplete_oscillating_non_positive_operator_valued_measure: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_informationally_complete_oscillating_positive_operator_valued_measure: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_informationally_complete_oscillating_non: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_paracomplete_oscillating_positive_operator_valued_measure: θ= 160.0°  φ= 220.0°  ψ=  90.0°
  antisymmetric_paracomplete_oscillating_non_positive_operator_valued_measure: θ= 120.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_informationally_complete_positive_operator_valued_measure: θ=  80.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_informationally_complete_non_positive_operator_valued_measure: θ= 100.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_paracomplete_positive_operator_valued_measure: θ=  60.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_paracomplete_non_positive_operator_valued_measure: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_informationally_complete_oscillating_positive_operator_valued_measure: θ= 130.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_informationally_complete_oscillating_non_positive_operator_valued_measure: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_paracomplete_oscillating_positive_operator_valued_measure: θ=  90.0°  φ= 220.0°  ψ=  90.0°
        sic_nonpositive_operator: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  supersymmetric_paracomplete_oscillating_non_positive_operator_valued_measure: θ=  90.0°  φ= 220.0°  ψ=  90.0°
           antisymmetric_ic_novm: θ= 160.0°  φ= 190.0°  ψ=  90.0°
           antisymmetric_ic_povm: θ= 140.0°  φ= 280.0°  ψ=  90.0°
  asymmetric_paracomplete_positive_static_ovm: θ= 120.0°  φ=  60.0°  ψ=  90.0°
  symmetric_paracomplete_positive_static_ovm: θ= 140.0°  φ= 240.0°  ψ=  90.0°
  symmetric_paracomplete_negative_static_ovm: θ= 160.0°  φ= 150.0°  ψ=  90.0°
  antisymmetric_paracomplete_positive_static_ovm: θ= 140.0°  φ= 280.0°  ψ=  90.0°
  antisymmetric_paracomplete_negative_static_ovm: θ= 160.0°  φ= 190.0°  ψ=  90.0°
             christian_theosophy: θ=  20.0°  φ= 180.0°  ψ=  90.0°
                     q_secp256k1: θ=   0.0°  φ= 230.0°  ψ= 149.4°
          belnap_shor_dialetheic: θ= 100.0°  φ= 280.0°  ψ=  90.0°
               belnap_phase_shor: θ=  80.0°  φ= 190.0°  ψ=  90.0°
       fibonacci_shor_dialetheic: θ= 160.0°  φ= 360.0°  ψ= 210.6°
                   multiplied_by: θ=  40.0°  φ= 120.0°  ψ=  90.0°
     nice_t1_frozen_critical_seq: θ=  80.0°  φ= 120.0°  ψ=  90.0°
    nice_t2_subcritical_slow_net: θ= 100.0°  φ= 180.0°  ψ= 270.0°
         nice_t3_ep_eternal_frob: θ= 100.0°  φ= 360.0°  ψ= 210.6°
     nice_t4_point_mesoscale_sym: θ=   0.0°  φ= 130.0°  ψ= 270.0°
           braid_trefoil_thermal: θ= 110.0°  φ= 140.0°  ψ= 270.0°
          braid_trefoil_critical: θ= 110.0°  φ= 140.0°  ψ=  90.0°
           braid_4strand_trefoil: θ= 110.0°  φ= 140.0°  ψ=  90.0°
                      divided_by: θ=  40.0°  φ= 150.0°  ψ=  90.0°
                sk_kp1_secp256k1: θ=  60.0°  φ= 190.0°  ψ= 270.0°
                pk_kp1_secp256k1: θ=  20.0°  φ= 140.0°  ψ= 270.0°
                   kp1_secp256k1: θ=  80.0°  φ= 280.0°  ψ=  90.0°
                sk_kp2_secp256k1: θ=  60.0°  φ= 190.0°  ψ= 270.0°
                pk_kp2_secp256k1: θ=  20.0°  φ= 140.0°  ψ= 270.0°
                   kp2_secp256k1: θ=  80.0°  φ= 280.0°  ψ=  90.0°
                sk_kp3_secp256k1: θ=  60.0°  φ= 190.0°  ψ= 270.0°
                pk_kp3_secp256k1: θ=  20.0°  φ= 140.0°  ψ= 270.0°
                   kp3_secp256k1: θ=  80.0°  φ= 280.0°  ψ=  90.0°
  d2048_rsa_factoring_programme_complete: θ= 180.0°  φ= 320.0°  ψ=  90.0°
             b4_factor_v2_engine: θ= 140.0°  φ= 320.0°  ψ=  90.0°
        belnap_tensor_simplifier: θ= 180.0°  φ= 280.0°  ψ=  90.0°
                qm_shadow_of_fde: θ= 120.0°  φ= 240.0°  ψ=  90.0°
                  b4_t_optimizer: θ= 140.0°  φ= 320.0°  ψ=  90.0°
       b4_measurement_projection: θ= 140.0°  φ= 320.0°  ψ=  90.0°
           winding_period_finder: θ=  80.0°  φ= 320.0°  ψ=  90.0°
       secp256k1_horn_torus_dlog: θ= 100.0°  φ= 260.0°  ψ=  90.0°
     Φ_NP_duality_transformation: θ= 140.0°  φ= 240.0°  ψ=  90.0°
           Φ_NP_duality_relative: θ= 140.0°  φ= 240.0°  ψ=  90.0°
                       Φ_join_NP: θ= 100.0°  φ=  40.0°  ψ=  90.0°
          Φ_equals_NP_assumption: θ=  90.0°  φ= 280.0°  ψ=  90.0°
           Φ_not_equals_NP_claim: θ= 120.0°  φ= 160.0°  ψ= 270.0°
                     Φ_NP_tensor: θ= 100.0°  φ= 120.0°  ψ=  90.0°
                     Γ_aleph_rep: θ=   0.0°  φ= 100.0°  ψ=  90.0°
                      Γ_beth_rep: θ=   0.0°  φ= 100.0°  ψ=  90.0°
                     ɢ_broad_rep: θ=   0.0°  φ= 100.0°  ψ=  90.0°
                       ɢ_and_rep: θ=   0.0°  φ= 100.0°  ψ=  90.0°
                               ɢ: θ=  60.0°  φ= 270.0°  ψ=  90.0°
                               ƒ: θ= 100.0°  φ= 320.0°  ψ=  90.0°
       Ω_stability_proof_kernel*: θ= 160.0°  φ= 320.0°  ψ= 210.6°
  Holomorphic_Semiotic_Operator_Algebra: θ= 130.0°  φ= 280.0°  ψ= 149.4°
  asymmetric_information_incomplete_negative_operator_valued: θ=  60.0°  φ= 270.0°  ψ= 210.6°
  Asymmetric_Information_Complete_Negative_Operator_Valued: θ= 160.0°  φ= 270.0°  ψ= 210.6°
  asymmetric_information_complete_negative_operator_valued: θ= 160.0°  φ= 270.0°  ψ= 210.6°
  Asymmetric_Information_Complete_Positive_Operator_Valued: θ= 120.0°  φ= 230.0°  ψ= 210.6°
  asymmetric_information_complete_positive_operator_valued: θ= 120.0°  φ= 230.0°  ψ= 210.6°
  Symmetric_Information_Complete_Negative_Operator_Valued: θ=  60.0°  φ= 120.0°  ψ= 210.6°
  symmetric_information_complete_negative_operator_valued: θ=  60.0°  φ= 120.0°  ψ= 210.6°
  Antisymmetric_Information_Paracomplete_Oscillating_Operator: θ=  60.0°  φ= 190.0°  ψ=  90.0°
  asymmetric_paracomplete_negative_static_ovm: θ= 160.0°  φ= 190.0°  ψ=  90.0°
                  profit_via_use: θ= 140.0°  φ= 220.0°  ψ=  90.0°
                     Q_secp256k1: θ=   0.0°  φ= 230.0°  ψ= 149.4°
  nitroso_radical_redox_imscription_pair: θ=  40.0°  φ= 140.0°  ψ= 270.0°
                     amide_dimer: θ=   0.0°  φ=  60.0°  ψ= 270.0°
  nitroso_radical_anion_π_cavitand_cage_imscription: θ=  20.0°  φ= 180.0°  ψ= 270.0°
  nitroso_radical_calixarene_anion_π_sandwich_imscription: θ=  20.0°  φ= 180.0°  ψ= 270.0°
  nitroso_radical_crown_ether_host_guest_imscription: θ=  20.0°  φ= 180.0°  ψ= 270.0°
  nitroso_radical_anion_π_cryptand_cage_imscription: θ=  20.0°  φ= 180.0°  ψ= 270.0°
  nitroso_radical_cucurbituril_anion_rotaxane_imscription: θ=  20.0°  φ= 180.0°  ψ= 270.0°
    methyl_anion_nucleophile_CH3: θ=   0.0°  φ=  40.0°  ψ= 270.0°
  methyl_cation_electrophile_CH3: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                    spin_singlet: θ=   0.0°  φ=  30.0°  ψ= 270.0°
                   qubit_logical: θ=  60.0°  φ=  30.0°  ψ= 270.0°
           kitaev_chain_majorana: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                  fqh_moore_read: θ= 140.0°  φ=  30.0°  ψ= 270.0°
    topological_insulator_bi2se3: θ= 100.0°  φ= 120.0°  ψ= 270.0°
  obtaining_∈⊢⊥<⊡><⊞∈⊙⊣<⋈⊞⊣<<>⊢∋⊞⊢⊣<∋∋⊥∈<⊣⊞<⊣⊡∋⋈⊣<⊤⊞⊣⊣⊥∈∋⊤⊢⊣⊡<⊡>⋈⋈>∋⊙⊣⊙⊤∈⊣<⊢_from: θ= 120.0°  φ= 150.0°  ψ=  90.0°
                    𐑦𐑸𐑽𐑗𐑐𐑧𐑔𐑵⊙𐑖𐑙𐑷: θ=  60.0°  φ= 160.0°  ψ=  90.0°
               seekpeek_pipeline: θ= 100.0°  φ= 280.0°  ψ=  90.0°
  perfect_cuboid_descent_completed: θ= 140.0°  φ= 320.0°  ψ=  90.0°
   perfect_cuboid_descent_closed: θ= 140.0°  φ= 320.0°  ψ=  90.0°
