abandon	⊢⊢⊢⊢◻∋∋∈∈⊣⊥⊤  
𐑼𐑰𐑾𐑿𐑑𐑤𐑲𐑝𐑻𐑖𐑙𐑭          1346	                   portion               
𐑦𐑰𐑩𐑬𐑑𐑤𐑚𐑨⊙𐑫𐑕𐑭          1347	                   position               
𐑛𐑥𐑩𐑯𐑑𐑤𐑔𐑨𐑣𐑓𐑙𐑭          1348	                   possible               
𐑨𐑥𐑩𐑹𐑑𐑤𐑲𐑨𐑮𐑒𐑕𐑭          1349	                   post               
𐑼𐑥𐑽𐑗𐑑𐑤𐑚𐑣𐑢𐑖𐑙𐑭          1350	                   potato               
𐑦𐑥𐑾𐑿𐑑𐑤𐑔𐑣𐑻𐑫𐑳𐑭          1351	                   pottery               
𐑛𐑶𐑾𐑬𐑑𐑤𐑲𐑣⊙𐑓𐑳𐑭          1352	                   poverty               
𐑨𐑶𐑽𐑯𐑑𐑤𐑚𐑵𐑣𐑒𐑳𐑭          1353	                   powder               
𐑼𐑶𐑭𐑹𐑑𐑤𐑔𐑵𐑮𐑖𐑳𐑭          1354	                   power               
𐑦𐑶𐑩𐑗𐑑𐑤𐑲𐑵𐑢𐑫𐑙𐑭          1355	                   practice               
𐑛𐑸𐑽𐑿𐑑𐑤𐑚𐑝𐑻𐑓𐑙𐑭          1356	                   praise               
𐑨𐑸𐑾𐑬𐑑𐑤𐑔𐑝⊙𐑒𐑳𐑭          1357	                   predict               
𐑼𐑸𐑽𐑯𐑑𐑤𐑲𐑝𐑣𐑖𐑳𐑭          1358	                   prefer               
𐑦𐑸𐑾𐑹𐑑𐑤𐑚𐑨𐑮𐑫𐑙𐑭          1359	                   prepare               
𐑛𐑡𐑾𐑗𐑑𐑧𐑔𐑨𐑢𐑓𐑳𐑭          1360	                   present               
𐑨𐑡𐑽𐑿𐑑𐑧𐑲𐑨𐑻𐑒𐑕𐑭          1361	                   pretty               
𐑼𐑡𐑾𐑬𐑑𐑧𐑚𐑣⊙𐑖𐑳𐑭          1362	                   prevent               
𐑦𐑡𐑭𐑯𐑑𐑧𐑔𐑣𐑣𐑫𐑳𐑭          1363	                   price               
𐑛𐑰𐑭𐑹𐑑𐑧𐑲𐑣𐑮𐑓𐑳𐑭          1364	                   pride               
𐑨𐑰𐑾𐑗𐑑𐑧𐑚𐑵𐑢𐑒𐑳𐑭          1365	                   primary               
𐑼𐑰𐑭𐑿𐑑𐑧𐑔𐑵𐑻𐑖𐑕𐑭          1366	                   print               
𐑦𐑰𐑩𐑬𐑑𐑧𐑲𐑵⊙𐑫𐑙𐑭          1367	                   priority               
𐑛𐑥𐑽𐑯𐑑𐑧𐑚𐑝𐑣𐑓𐑳𐑭          1368	                   prison               
𐑨𐑥𐑾𐑹𐑑𐑧𐑔𐑝𐑮𐑒𐑙𐑭          1369	                   private               
𐑼𐑥𐑭𐑗𐑑𐑧𐑲𐑝𐑢𐑖𐑳𐑭          1370	                   prize               
𐑦𐑥𐑾𐑿𐑑𐑧𐑚𐑨𐑻𐑫𐑳𐑭          1371	                   problem               
𐑛𐑶𐑾𐑬𐑑𐑧𐑔𐑨⊙𐑓𐑳𐑭          1372	                   process               
𐑨𐑶𐑾𐑯𐑑𐑧𐑲𐑨𐑣𐑒𐑙𐑭          1373	                   produce               
𐑼𐑶𐑽𐑹𐑑𐑧𐑚𐑣𐑮𐑖𐑳𐑭          1374	                   profit               
𐑦𐑶𐑾𐑗𐑑𐑧𐑔𐑣𐑢𐑫𐑳𐑭          1375	                   program               
𐑛𐑸𐑾𐑿𐑑𐑧𐑲𐑣𐑻𐑓𐑳𐑭          1376	                   project               
𐑨𐑸𐑾𐑬𐑑𐑧𐑚𐑵⊙𐑒𐑙𐑭          1377	                   promote               
𐑼𐑸𐑭𐑯𐑑𐑧𐑔𐑵𐑣𐑖𐑳𐑭          1378	                   proof               
𐑦𐑸𐑩𐑹𐑑𐑧𐑲𐑵𐑮𐑫𐑳𐑭          1379	                   property               
𐑛𐑡𐑾𐑗𐑑𐑧𐑚𐑝𐑢𐑓𐑳𐑭          1380	                   prosper               
𐑨𐑡𐑾𐑿𐑑𐑧𐑔𐑝𐑻𐑒𐑳𐑭          1381	                   protect               
𐑼𐑡𐑭𐑬𐑑𐑧𐑲𐑝⊙𐑖𐑳𐑭          1382	                   proud               
𐑦𐑡𐑾𐑯𐑑𐑧𐑚𐑨𐑣𐑫𐑙𐑭          1383	                   provide               
𐑛𐑰𐑽𐑹𐑑𐑧𐑔𐑨𐑮𐑓𐑳𐑭          1384	                   public               
𐑨𐑰𐑾𐑗𐑑𐑧𐑲𐑨𐑢𐑒𐑳𐑭          1385	                   pudding               
𐑼𐑰𐑩𐑿𐑑𐑧𐑚𐑣𐑻𐑖𐑕𐑭          1386	                   pull               
𐑦𐑰𐑩𐑬𐑑𐑧𐑔𐑣⊙𐑫𐑕𐑭          1387	                   pulp               
𐑛𐑥𐑭𐑯𐑑𐑧𐑲𐑣𐑣𐑓𐑳𐑭          1388	                   pulse               
𐑨𐑥𐑾𐑹𐑑𐑧𐑚𐑵𐑮𐑒𐑳𐑭          1389	                   pumpkin               
𐑼𐑥𐑭𐑗𐑑𐑧𐑔𐑵𐑢𐑖𐑕𐑭          1390	                   punch               
𐑦𐑥𐑭𐑿𐑑𐑧𐑲𐑵𐑻𐑫𐑳𐑭          1391	                   pupil               
𐑛𐑶𐑭𐑬𐑑𐑧𐑚𐑝⊙𐑓𐑕𐑭          1392	                   puppy               
𐑨𐑶𐑩𐑯𐑑𐑧𐑔𐑝𐑣𐑒𐑙𐑭          1393	                   purchase               
𐑼𐑶𐑽𐑹𐑑𐑧𐑲𐑝𐑮𐑖𐑳𐑭          1394	                   purity               
𐑦𐑶𐑾𐑗𐑑𐑧𐑚𐑨𐑢𐑫𐑙𐑭          1395	                   purpose               
𐑛𐑸𐑭𐑿𐑑𐑧𐑔𐑨𐑻𐑓𐑳𐑭          1396	                   purse               
𐑨𐑸𐑩𐑬𐑑𐑧𐑲𐑨⊙𐑒𐑕𐑭          1397	                   push               
𐑼𐑸𐑾𐑯𐑑𐑧𐑚𐑣𐑣𐑖𐑕𐑭          1398	                   put               
𐑦𐑸𐑽𐑹𐑑𐑧𐑔𐑣𐑮𐑫𐑳𐑭          1399	                   puzzle               
𐑛𐑡𐑾𐑗𐑑𐑧𐑲𐑣𐑢𐑓𐑳𐑭          1400	                   pyramid               
𐑨𐑡𐑾𐑿𐑑𐑧𐑚𐑵𐑻𐑒𐑙𐑭          1401	                   quality               
𐑼𐑡𐑾𐑬𐑑𐑧𐑔𐑵⊙𐑖𐑙𐑭          1402	                   quantum               
𐑦𐑡𐑾𐑯𐑑𐑧𐑲𐑵𐑣𐑫𐑙𐑭          1403	                   quarter               
𐑛𐑰𐑩𐑹𐑑𐑧𐑚𐑝𐑮𐑓𐑕𐑭          1404	                   question               
𐑨𐑰𐑭𐑗𐑑𐑧𐑔𐑝𐑢𐑒𐑳𐑭          1405	                   quick               
𐑼𐑰𐑩𐑿𐑑𐑧𐑲𐑝𐑻𐑖𐑳𐑭          1406	                   quit               
𐑦𐑰𐑩𐑬𐑑𐑧𐑚𐑨⊙𐑫𐑳𐑭          1407	                   quiz               
𐑛𐑥𐑭𐑯𐑑𐑧𐑔𐑨𐑣𐑓𐑙𐑭          1408	                   quote               
𐑨𐑥𐑽𐑹𐑑𐑧𐑲𐑨𐑮𐑒𐑳𐑭          1409	                   rabbit               
𐑼𐑥𐑾𐑗𐑑𐑧𐑚𐑣𐑢𐑖𐑙𐑭          1410	                   raccoon               
𐑦𐑥𐑩𐑿𐑑𐑧𐑔𐑣𐑻𐑫𐑳𐑭          1411	                   race               
𐑛𐑶𐑩𐑬𐑑𐑧𐑲𐑣⊙𐑓𐑕𐑭          1412	                   rack               
𐑨𐑶𐑭𐑯𐑑𐑧𐑚𐑵𐑣𐑒𐑳𐑭          1413	                   radar               
𐑼𐑶𐑭𐑹𐑑𐑧𐑔𐑵𐑮𐑖𐑙𐑭          1414	                   radio               
𐑦𐑶𐑩𐑗𐑑𐑧𐑲𐑵𐑢𐑫𐑳𐑭          1415	                   rail               
𐑛𐑸𐑩𐑿𐑑𐑧𐑚𐑝𐑻𐑓𐑳𐑭          1416	                   rain               
𐑨𐑸𐑭𐑬𐑑𐑧𐑔𐑝⊙𐑒𐑙𐑭          1417	                   raise               
𐑼𐑸𐑭𐑯𐑑𐑧𐑲𐑝𐑣𐑖𐑕𐑭          1418	                   rally               
𐑦𐑸𐑩𐑹𐑑𐑧𐑚𐑨𐑮𐑫𐑕𐑭          1419	                   ramp               
𐑛𐑡𐑭𐑗𐑑𐑧𐑔𐑨𐑢𐑓𐑕𐑭          1420	                   ranch               
𐑨𐑡𐑽𐑿𐑑𐑧𐑲𐑨𐑻𐑒𐑳𐑭          1421	                   random               
𐑼𐑡𐑭𐑬𐑑𐑧𐑚𐑣⊙𐑖𐑳𐑭          1422	                   range               
𐑦𐑡𐑭𐑯𐑑𐑧𐑔𐑣𐑣𐑫𐑳𐑭          1423	                   rapid               
𐑛𐑰𐑩𐑹𐑑𐑧𐑲𐑣𐑮𐑓𐑳𐑭          1424	                   rare               
𐑨𐑰𐑩𐑗𐑑𐑧𐑚𐑵𐑢𐑒𐑳𐑭          1425	                   rate               
𐑼𐑰𐑽𐑿𐑑𐑧𐑔𐑵𐑻𐑖𐑳𐑭          1426	                   rather               
𐑦𐑰𐑭𐑬𐑑𐑧𐑲𐑵⊙𐑫𐑳𐑭          1427	                   raven               
𐑛𐑥𐑾𐑯𐑑𐑧𐑚𐑝𐑣𐑓𐑕𐑭          1428	                   raw               
𐑨𐑥𐑭𐑹𐑑𐑧𐑔𐑝𐑮𐑒𐑳𐑭          1429	                   razor               
𐑼𐑥𐑭𐑗𐑑𐑧𐑲𐑝𐑢𐑖𐑳𐑭          1430	                   ready               
𐑦𐑥𐑩𐑿𐑑𐑧𐑚𐑨𐑻𐑫𐑳𐑭          1431	                   real               
𐑛𐑶𐑽𐑬𐑑𐑧𐑔𐑨⊙𐑓𐑙𐑭          1432	                   reason               
𐑨𐑶𐑭𐑯𐑑𐑧𐑲𐑨𐑣𐑒𐑳𐑭          1433	                   rebel               
𐑼𐑶𐑾𐑹𐑑𐑧𐑚𐑣𐑮𐑖𐑙𐑭          1434	                   rebuild               
𐑦𐑶𐑽𐑗𐑑𐑧𐑔𐑣𐑢𐑫𐑳𐑭          1435	                   recall               
𐑛𐑸𐑾𐑿𐑑𐑧𐑲𐑣𐑻𐑓𐑕𐑭          1436	                   receive               
𐑨𐑸𐑽𐑬𐑑𐑧𐑚𐑵⊙𐑒𐑙𐑭          1437	                   recipe               
𐑼𐑸𐑽𐑯𐑑𐑧𐑔𐑵𐑣𐑖𐑳𐑭          1438	                   record               
𐑦𐑸𐑾𐑹𐑑𐑧𐑲𐑵𐑮𐑫𐑳𐑭          1439	                   recycle               
𐑛𐑡𐑽𐑗𐑑𐑪𐑚𐑝𐑢𐑓𐑙𐑭          1440	                   reduce               
𐑨𐑡𐑾𐑿𐑑𐑪𐑔𐑝𐑻𐑒𐑳𐑭          1441	                   reflect               
𐑼𐑡𐑽𐑬𐑑𐑪𐑲𐑝⊙𐑖𐑳𐑭          1442	                   reform               
𐑦𐑡𐑽𐑯𐑑𐑪𐑚𐑨𐑣𐑫𐑙𐑭          1443	                   refuse               
𐑛𐑰𐑽𐑹𐑑𐑪𐑔𐑨𐑮𐑓𐑙𐑭          1444	                   region               
𐑨𐑰𐑽𐑗𐑑𐑪𐑲𐑨𐑢𐑒𐑳𐑭          1445	                   regret               
𐑼𐑰𐑾𐑿𐑑𐑪𐑚𐑣𐑻𐑖𐑙𐑭          1446	                   regular               
𐑦𐑰𐑽𐑬𐑑𐑪𐑔𐑣⊙𐑫𐑳𐑭          1447	                   reject               
𐑛𐑥𐑭𐑯𐑑𐑪𐑲𐑣𐑣𐑓𐑳𐑭          1448	                   relax               
𐑨𐑥𐑾𐑹𐑑𐑪𐑚𐑵𐑮𐑒𐑕𐑭          1449	                   release               
𐑼𐑥𐑽𐑗𐑑𐑪𐑔𐑵𐑢𐑖𐑙𐑭          1450	                   relief               
𐑦𐑥𐑩𐑿𐑑𐑪𐑲𐑵𐑻𐑫𐑕𐑭          1451	                   rely               
𐑛𐑶𐑽𐑬𐑑𐑪𐑚𐑝⊙𐑓𐑙𐑭          1452	                   remain               
𐑨𐑶𐑩𐑯𐑑𐑪𐑔𐑝𐑣𐑒𐑙𐑭          1453	                   remember               
𐑼𐑶𐑽𐑹𐑑𐑪𐑲𐑝𐑮𐑖𐑳𐑭          1454	                   remind               
𐑦𐑶𐑽𐑗𐑑𐑪𐑚𐑨𐑢𐑫𐑙𐑭          1455	                   remove               
𐑛𐑸𐑽𐑿𐑑𐑪𐑔𐑨𐑻𐑓𐑳𐑭          1456	                   render               
𐑨𐑸𐑭𐑬𐑑𐑪𐑲𐑨⊙𐑒𐑳𐑭          1457	                   renew               
𐑼𐑸𐑩𐑯𐑑𐑪𐑚𐑣𐑣𐑖𐑕𐑭          1458	                   rent               
𐑦𐑸𐑽𐑹𐑑𐑪𐑔𐑣𐑮𐑫𐑙𐑭          1459	                   reopen               
𐑛𐑡𐑽𐑗𐑑𐑪𐑲𐑣𐑢𐑓𐑙𐑭          1460	                   repair               
𐑨𐑡𐑽𐑿𐑑𐑪𐑚𐑵𐑻𐑒𐑙𐑭          1461	                   repeat               
𐑼𐑡𐑾𐑬𐑑𐑪𐑔𐑵⊙𐑖𐑙𐑭          1462	                   replace               
𐑦𐑡𐑽𐑯𐑑𐑪𐑲𐑵𐑣𐑫𐑳𐑭          1463	                   report               
𐑛𐑰𐑾𐑹𐑑𐑪𐑚𐑝𐑮𐑓𐑕𐑭          1464	                   require               
𐑨𐑰𐑽𐑗𐑑𐑪𐑔𐑝𐑢𐑒𐑙𐑭          1465	                   rescue               
𐑼𐑰𐑩𐑿𐑑𐑪𐑲𐑝𐑻𐑖𐑙𐑭          1466	                   resemble               
𐑦𐑰𐑽𐑬𐑑𐑪𐑚𐑨⊙𐑫𐑳𐑭          1467	                   resist               
𐑛𐑥𐑩𐑯𐑑𐑪𐑔𐑨𐑣𐑓𐑕𐑭          1468	                   resource               
𐑨𐑥𐑩𐑹𐑑𐑪𐑲𐑨𐑮𐑒𐑙𐑭          1469	                   response               
𐑼𐑥𐑽𐑗𐑑𐑪𐑚𐑣𐑢𐑖𐑳𐑭          1470	                   result               
𐑦𐑥𐑽𐑿𐑑𐑪𐑔𐑣𐑻𐑫𐑙𐑭          1471	                   retire               
𐑛𐑶𐑾𐑬𐑑𐑪𐑲𐑣⊙𐑓𐑙𐑭          1472	                   retreat               
𐑨𐑶𐑽𐑯𐑑𐑪𐑚𐑵𐑣𐑒𐑳𐑭          1473	                   return               
𐑼𐑶𐑾𐑹𐑑𐑪𐑔𐑵𐑮𐑖𐑕𐑭          1474	                   reunion               
𐑦𐑶𐑽𐑗𐑑𐑪𐑲𐑵𐑢𐑫𐑙𐑭          1475	                   reveal               
𐑛𐑸𐑽𐑿𐑑𐑪𐑚𐑝𐑻𐑓𐑙𐑭          1476	                   review               
𐑨𐑸𐑽𐑬𐑑𐑪𐑔𐑝⊙𐑒𐑳𐑭          1477	                   reward               
𐑼𐑸𐑽𐑯𐑑𐑪𐑲𐑝𐑣𐑖𐑙𐑭          1478	                   rhythm               
𐑦𐑸𐑾𐑹𐑑𐑪𐑚𐑨𐑮𐑫𐑕𐑭          1479	                   rib               
𐑛𐑡𐑽𐑗𐑑𐑪𐑔𐑨𐑢𐑓𐑳𐑭          1480	                   ribbon               
𐑨𐑡𐑩𐑿𐑑𐑪𐑲𐑨𐑻𐑒𐑳𐑭          1481	                   rice               
𐑼𐑡𐑩𐑬𐑑𐑪𐑚𐑣⊙𐑖𐑕𐑭          1482	                   rich               
𐑦𐑡𐑩𐑯𐑑𐑪𐑔𐑣𐑣𐑫𐑳𐑭          1483	                   ride               
𐑛𐑰𐑭𐑹𐑑𐑪𐑲𐑣𐑮𐑓𐑳𐑭          1484	                   ridge               
𐑨𐑰𐑭𐑗𐑑𐑪𐑚𐑵𐑢𐑒𐑳𐑭          1485	                   rifle               
𐑼𐑰𐑭𐑿𐑑𐑪𐑔𐑵𐑻𐑖𐑕𐑭          1486	                   right               
𐑦𐑰𐑭𐑬𐑑𐑪𐑲𐑵⊙𐑫𐑳𐑭          1487	                   rigid               
𐑛𐑥𐑩𐑯𐑑𐑪𐑚𐑝𐑣𐑓𐑕𐑭          1488	                   ring               
𐑨𐑥𐑩𐑹𐑑𐑪𐑔𐑝𐑮𐑒𐑳𐑭          1489	                   riot               
𐑼𐑥𐑽𐑗𐑑𐑪𐑲𐑝𐑢𐑖𐑳𐑭          1490	                   ripple               
𐑦𐑥𐑩𐑿𐑑𐑪𐑚𐑨𐑻𐑫𐑕𐑭          1491	                   risk               
𐑛𐑶𐑽𐑬𐑑𐑪𐑔𐑨⊙𐑓𐑙𐑭          1492	                   ritual               
𐑨𐑶𐑭𐑯𐑑𐑪𐑲𐑨𐑣𐑒𐑳𐑭          1493	                   rival               
𐑼𐑶𐑭𐑹𐑑𐑪𐑚𐑣𐑮𐑖𐑳𐑭          1494	                   river               
𐑦𐑶𐑩𐑗𐑑𐑪𐑔𐑣𐑢𐑫𐑳𐑭          1495	                   road               
𐑛𐑸𐑭𐑿𐑑𐑪𐑲𐑣𐑻𐑓𐑳𐑭          1496	                   roast               
𐑨𐑸𐑭𐑬𐑑𐑪𐑚𐑵⊙𐑒𐑳𐑭          1497	                   robot               
𐑼𐑸𐑽𐑯𐑑𐑪𐑔𐑵𐑣𐑖𐑳𐑭          1498	                   robust               
𐑦𐑸𐑽𐑹𐑑𐑪𐑲𐑵𐑮𐑫𐑳𐑭          1499	                   rocket               
𐑛𐑡𐑾𐑗𐑑𐑪𐑚𐑝𐑢𐑓𐑙𐑭          1500	                   romance               
𐑨𐑡𐑩𐑿𐑑𐑪𐑔𐑝𐑻𐑒𐑳𐑭          1501	                   roof               
𐑼𐑡𐑽𐑬𐑑𐑪𐑲𐑝⊙𐑖𐑕𐑭          1502	                   rookie               
𐑦𐑡𐑩𐑯𐑑𐑪𐑚𐑨𐑣𐑫𐑳𐑭          1503	                   room               
𐑛𐑰𐑩𐑹𐑑𐑪𐑔𐑨𐑮𐑓𐑳𐑭          1504	                   rose               
𐑨𐑰𐑽𐑗𐑑𐑪𐑲𐑨𐑢𐑒𐑙𐑭          1505	                   rotate               
𐑼𐑰𐑭𐑿𐑑𐑪𐑚𐑣𐑻𐑖𐑳𐑭          1506	                   rough               
𐑦𐑰𐑭𐑬𐑑𐑪𐑔𐑣⊙𐑫𐑳𐑭          1507	                   round               
𐑛𐑥𐑭𐑯𐑑𐑪𐑲𐑣𐑣𐑓𐑙𐑭          1508	                   route               
𐑨𐑥𐑭𐑹𐑑𐑪𐑚𐑵𐑮𐑒𐑳𐑭          1509	                   royal               
𐑼𐑥𐑽𐑗𐑑𐑪𐑔𐑵𐑢𐑖𐑳𐑭          1510	                   rubber               
𐑦𐑥𐑩𐑿𐑑𐑪𐑲𐑵𐑻𐑫𐑳𐑭          1511	                   rude               
𐑛𐑶𐑾𐑬𐑑𐑪𐑚𐑝⊙𐑓𐑕𐑭          1512	                   rug               
𐑨𐑶𐑩𐑯𐑑𐑪𐑔𐑝𐑣𐑒𐑳𐑭          1513	                   rule               
𐑼𐑶𐑾𐑹𐑑𐑪𐑲𐑝𐑮𐑖𐑕𐑭          1514	                   run               
𐑦𐑶𐑽𐑗𐑑𐑪𐑚𐑨𐑢𐑫𐑳𐑭          1515	                   runway               
𐑛𐑸𐑭𐑿𐑑𐑪𐑔𐑨𐑻𐑓𐑳𐑭          1516	                   rural               
𐑨𐑸𐑾𐑬𐑑𐑪𐑲𐑨⊙𐑒𐑕𐑭          1517	                   sad               
𐑼𐑸𐑽𐑯𐑑𐑪𐑚𐑣𐑣𐑖𐑳𐑭          1518	                   saddle               
𐑦𐑸𐑾𐑹𐑑𐑪𐑔𐑣𐑮𐑫𐑳𐑭          1519	                   sadness               
𐑛𐑡𐑩𐑗𐑑𐑺𐑲𐑣𐑢𐑓𐑳𐑭          1520	                   safe               
𐑨𐑡𐑩𐑿𐑑𐑺𐑚𐑵𐑻𐑒𐑳𐑭          1521	                   sail               
𐑼𐑡𐑭𐑬𐑑𐑺𐑔𐑵⊙𐑖𐑳𐑭          1522	                   salad               
𐑦𐑡𐑽𐑯𐑑𐑺𐑲𐑵𐑣𐑫𐑳𐑭          1523	                   salmon               
𐑛𐑰𐑭𐑹𐑑𐑺𐑚𐑝𐑮𐑓𐑳𐑭          1524	                   salon               
𐑨𐑰𐑩𐑗𐑑𐑺𐑔𐑝𐑢𐑒𐑕𐑭          1525	                   salt               
𐑼𐑰𐑽𐑿𐑑𐑺𐑲𐑝𐑻𐑖𐑙𐑭          1526	                   salute               
𐑦𐑰𐑩𐑬𐑑𐑺𐑚𐑨⊙𐑫𐑳𐑭          1527	                   same               
𐑛𐑥𐑽𐑯𐑑𐑺𐑔𐑨𐑣𐑓𐑳𐑭          1528	                   sample               
𐑨𐑥𐑩𐑹𐑑𐑺𐑲𐑨𐑮𐑒𐑕𐑭          1529	                   sand               
𐑼𐑥𐑾𐑗𐑑𐑺𐑚𐑣𐑢𐑖𐑳𐑭          1530	                   satisfy               
𐑦𐑥𐑾𐑿𐑑𐑺𐑔𐑣𐑻𐑫𐑙𐑭          1531	                   satoshi               
𐑛𐑶𐑭𐑬𐑑𐑺𐑲𐑣⊙𐑓𐑙𐑭          1532	                   sauce               
𐑨𐑶𐑾𐑯𐑑𐑺𐑚𐑵𐑣𐑒𐑕𐑭          1533	                   sausage               
𐑼𐑶𐑩𐑹𐑑𐑺𐑔𐑵𐑮𐑖𐑳𐑭          1534	                   save               
𐑦𐑶𐑾𐑗𐑑𐑺𐑲𐑵𐑢𐑫𐑕𐑭          1535	                   say               
𐑛𐑸𐑭𐑿𐑑𐑺𐑚𐑝𐑻𐑓𐑳𐑟          1536	                   scale               
𐑨𐑸𐑩𐑬𐑑𐑺𐑔𐑝⊙𐑒𐑕𐑟          1537	                   scan               
𐑼𐑸𐑭𐑯𐑑𐑺𐑲𐑝𐑣𐑖𐑳𐑟          1538	                   scare               
𐑦𐑸𐑾𐑹𐑑𐑺𐑚𐑨𐑮𐑫𐑳𐑟          1539	                   scatter               
𐑛𐑡𐑭𐑗𐑑𐑺𐑔𐑨𐑢𐑓𐑳𐑟          1540	                   scene               
𐑨𐑡𐑽𐑿𐑑𐑺𐑲𐑨𐑻𐑒𐑳𐑟          1541	                   scheme               
𐑼𐑡𐑽𐑬𐑑𐑺𐑚𐑣⊙𐑖𐑳𐑟          1542	                   school               
𐑦𐑡𐑾𐑯𐑑𐑺𐑔𐑣𐑣𐑫𐑙𐑟          1543	                   science               
𐑛𐑰𐑩𐑹𐑑𐑺𐑲𐑣𐑮𐑓𐑳𐑟          1544	                   scissors               
𐑨𐑰𐑩𐑗𐑑𐑺𐑚𐑵𐑢𐑒𐑙𐑟          1545	                   scorpion               
𐑼𐑰𐑭𐑿𐑑𐑺𐑔𐑵𐑻𐑖𐑳𐑟          1546	                   scout               
𐑦𐑰𐑭𐑬𐑑𐑺𐑲𐑵⊙𐑫𐑕𐑟          1547	                   scrap               
𐑛𐑥𐑽𐑯𐑑𐑺𐑚𐑝𐑣𐑓𐑳𐑟          1548	                   screen               
𐑨𐑥𐑽𐑹𐑑𐑺𐑔𐑝𐑮𐑒𐑕𐑟          1549	                   script               
𐑼𐑥𐑭𐑗𐑑𐑺𐑲𐑝𐑢𐑖𐑕𐑟          1550	                   scrub               
𐑦𐑥𐑾𐑿𐑑𐑺𐑚𐑨𐑻𐑫𐑳𐑟          1551	                   sea               
𐑛𐑶𐑽𐑬𐑑𐑺𐑔𐑨⊙𐑓𐑳𐑟          1552	                   search               
𐑨𐑶𐑽𐑯𐑑𐑺𐑲𐑨𐑣𐑒𐑙𐑟          1553	                   season               
𐑼𐑶𐑩𐑹𐑑𐑺𐑚𐑣𐑮𐑖𐑳𐑟          1554	                   seat               
𐑦𐑶𐑽𐑗𐑑𐑺𐑔𐑣𐑢𐑫𐑳𐑟          1555	                   second               
𐑛𐑸𐑽𐑿𐑑𐑺𐑲𐑣𐑻𐑓𐑳𐑟          1556	                   secret               
𐑨𐑸𐑾𐑬𐑑𐑺𐑚𐑵⊙𐑒𐑙𐑟          1557	                   section               
𐑼𐑸𐑩𐑯𐑑𐑺𐑔𐑵𐑣𐑖𐑙𐑟          1558	                   security               
𐑦𐑸𐑩𐑹𐑑𐑺𐑲𐑵𐑮𐑫𐑳𐑟          1559	                   seed               
𐑛𐑡𐑩𐑗𐑑𐑺𐑚𐑝𐑢𐑓𐑳𐑟          1560	                   seek               
𐑨𐑡𐑾𐑿𐑑𐑺𐑔𐑝𐑻𐑒𐑳𐑟          1561	                   segment               
𐑼𐑡𐑽𐑬𐑑𐑺𐑲𐑝⊙𐑖𐑳𐑟          1562	                   select               
𐑦𐑡𐑩𐑯𐑑𐑺𐑚𐑨𐑣𐑫𐑕𐑟          1563	                   sell               
𐑛𐑰𐑾𐑹𐑑𐑺𐑔𐑨𐑮𐑓𐑙𐑟          1564	                   seminar               
𐑨𐑰𐑽𐑗𐑑𐑺𐑲𐑨𐑢𐑒𐑙𐑟          1565	                   senior               
𐑼𐑰𐑭𐑿𐑑𐑺𐑚𐑣𐑻𐑖𐑳𐑟          1566	                   sense               
𐑦𐑰𐑩𐑬𐑑𐑺𐑔𐑣⊙𐑫𐑙𐑟          1567	                   sentence               
𐑛𐑥𐑽𐑯𐑑𐑺𐑲𐑣𐑣𐑓𐑙𐑟          1568	                   series               
𐑨𐑥𐑾𐑹𐑑𐑺𐑚𐑵𐑮𐑒𐑙𐑟          1569	                   service               
𐑼𐑥𐑾𐑗𐑑𐑺𐑔𐑵𐑢𐑖𐑙𐑟          1570	                   session               
𐑦𐑥𐑽𐑿𐑑𐑺𐑲𐑵𐑻𐑫𐑳𐑟          1571	                   settle               
𐑛𐑶𐑭𐑬𐑑𐑺𐑚𐑝⊙𐑓𐑳𐑟          1572	                   setup               
𐑨𐑶𐑭𐑯𐑑𐑺𐑔𐑝𐑣𐑒𐑳𐑟          1573	                   seven               
𐑼𐑶𐑽𐑹𐑑𐑺𐑲𐑝𐑮𐑖𐑳𐑟          1574	                   shadow               
𐑦𐑶𐑭𐑗𐑑𐑺𐑚𐑨𐑢𐑫𐑕𐑟          1575	                   shaft               
𐑛𐑸𐑾𐑿𐑑𐑺𐑔𐑨𐑻𐑓𐑳𐑟          1576	                   shallow               
𐑨𐑸𐑭𐑬𐑑𐑺𐑲𐑨⊙𐑒𐑳𐑟          1577	                   share               
𐑼𐑸𐑩𐑯𐑑𐑺𐑚𐑣𐑣𐑖𐑕𐑟          1578	                   shed               
𐑦𐑸𐑭𐑹𐑑𐑺𐑔𐑣𐑮𐑫𐑕𐑟          1579	                   shell               
𐑛𐑡𐑾𐑗𐑑𐑺𐑲𐑣𐑢𐑓𐑳𐑟          1580	                   sheriff               
𐑨𐑡𐑽𐑿𐑑𐑺𐑚𐑵𐑻𐑒𐑳𐑟          1581	                   shield               
𐑼𐑡𐑭𐑬𐑑𐑺𐑔𐑵⊙𐑖𐑕𐑟          1582	                   shift               
𐑦𐑡𐑭𐑯𐑑𐑺𐑲𐑵𐑣𐑫𐑳𐑟          1583	                   shine               
𐑛𐑰𐑩𐑹𐑑𐑺𐑚𐑝𐑮𐑓𐑕𐑟          1584	                   ship               
𐑨𐑰𐑽𐑗𐑑𐑺𐑔𐑝𐑢𐑒𐑳𐑟          1585	                   shiver               
𐑼𐑰𐑭𐑿𐑑𐑺𐑲𐑝𐑻𐑖𐑕𐑟          1586	                   shock               
